,mu,xaxis,yaxis,colors
26,-1.0,11.5,-1,#9DD9C5
347,-0.002,11.502,1,#9D6C97
700,0.9,11.6,5,#9DC3E6
315,-0.102,11.602,2,#9D6C97
668,0.806,11.693999999999999,7,#9DC3E6
283,-0.2,11.7,4,#9D6C97
636,0.701,11.799,6,#9DC3E6
251,-0.3,11.8,4,#9D6C97
604,0.604,11.896,4,#9DC3E6
219,-0.4,11.9,3,#9D6C97
572,0.504,11.996,7,#9DC3E6
187,-0.501,12.001,2,#9D6C97
540,0.403,12.097,6,#9DC3E6
155,-0.6,12.1,3,#9D6C97
508,0.301,12.199,4,#9DC3E6
123,-0.7,12.2,3,#9D6C97
476,0.208,12.292,4,#9DC3E6
91,-0.8,12.3,2,#9D6C97
444,0.103,12.397,4,#9DC3E6
59,-0.903,12.403,1,#9D6C97
733,1.007,12.493,5,#9DD9C5
