mu,xaxis,yaxis,colors
0.806,13.693999999999999,8,#9D6C97
-0.2,13.7,6,#9DD9C5
0.701,13.799,5,#9D6C97
-0.3,13.8,6,#9DD9C5
0.604,13.896,6,#9D6C97
-0.4,13.9,5,#9DD9C5
0.504,13.996,6,#9D6C97
-0.501,14.001,3,#9DD9C5
0.403,14.097,5,#9D6C97
-0.6,14.1,5,#9DD9C5
0.301,14.199,7,#9D6C97
-0.7,14.2,6,#9DD9C5
0.208,14.292,4,#9D6C97
-0.8,14.3,5,#9DD9C5
0.103,14.397,6,#9D6C97
-0.903,14.403,5,#9DD9C5
1.007,14.493,0,#9DC3E6
0.003,14.497,5,#9D6C97
0.001,14.499,6,#9D6C97
-1.0,14.5,5,#9DD9C5
-0.002,14.502,5,#9D6C97
0.9,14.6,5,#9DC3E6
-0.102,14.602,2,#9D6C97
0.806,14.693999999999999,4,#9DC3E6
-0.2,14.7,5,#9D6C97
0.701,14.799,4,#9DC3E6
-0.3,14.8,5,#9D6C97
0.604,14.896,2,#9DC3E6
-0.4,14.9,7,#9D6C97
0.504,14.996,4,#9DC3E6
-0.501,15.001,6,#9D6C97
0.403,15.097,2,#9DC3E6
-0.6,15.1,5,#9D6C97
0.301,15.199,4,#9DC3E6
-0.7,15.2,4,#9D6C97
0.208,15.292,2,#9DC3E6
-0.8,15.3,5,#9D6C97
0.103,15.397,2,#9DC3E6
-0.903,15.403,6,#9D6C97
0.003,15.497,5,#9DC3E6
0.001,15.499,2,#9DC3E6
-1.0,15.5,5,#9D6C97
-0.002,15.502,1,#9DC3E6
